x,y,score,area,zone
-652.1625,787.4386718750001,0,277,1
-500.97937500000006,517.3173046875,3,371,1
-287.544375,314.97546875,6,669,1
83.99062500000001,310.98843750000003,7,232,2
-371.535,274.1083984375,6,318,1
104.74125000000001,233.24132812500002,8,201,2
-459.47812500000003,166.45855468750003,5,350,1
155.135625,158.48449218750002,8,244,2
-639.3168750000001,156.4909765625,4,416,1
-99.80062500000001,105.656328125,9,179,1
-47.43000000000001,102.66605468750001,9,278,1
-107.70562500000001,81.73414062500001,9,322,1
59.2875,81.73414062500001,9,361,2
43.477500000000006,-27.90921875,10,339,4
-75.09750000000001,-40.867070312500005,10,302,3
641.293125,-42.860585937500005,4,437,4
107.70562500000001,-48.84113281250001,9,278,4
427.85812500000003,-62.795742187500004,6,264,4
-313.235625,-68.7762890625,7,327,3
-72.133125,-79.74062500000001,9,312,3
558.2906250000001,-80.7373828125,5,420,4
82.014375,-86.7179296875,9,234,4
247.03125000000003,-106.65308593750001,8,365,4
73.12125,-124.59472656250001,9,132,4
-41.501250000000006,-128.5817578125,9,38,3
-489.12187500000005,-156.4909765625,5,316,3
-534.5756250000001,-181.409921875,5,206,3
-145.254375,-181.409921875,8,262,3
61.26375,-181.409921875,8,617,4
821.131875,-191.37750000000003,2,285,4
456.51375,-197.358046875,5,528,4
210.470625,-203.33859375,7,345,4
-212.446875,-250.18621093750002,7,184,3
-288.5325,-260.15378906250004,6,419,3
258.88875,-283.07921875,7,356,4
-34.584375,-311.9851953125,7,327,3
-409.08375,-342.88468750000004,5,572,3
140.31375,-350.85875000000004,7,256,4
330.03375,-350.85875000000004,6,260,4
-207.50625000000002,-354.84578125,6,311,3
-133.39687500000002,-358.83281250000005,7,307,3
160.07625000000002,-376.77445312500004,6,437,4
428.84625000000005,-380.761484375,5,1010,4
-137.349375,-388.735546875,6,345,3
665.0081250000001,-410.66421875000003,2,251,4
887.3362500000001,-411.6609765625,0,242,4
44.465625,-423.62207031250006,6,233,4
78.061875,-431.59613281250006,6,263,4
-127.46812500000001,-440.56695312500005,6,240,3
241.10250000000002,-462.495625,5,315,4
-441.69187500000004,-478.44375,4,567,3
670.9368750000001,-490.40484375000005,2,354,4
-16.798125000000002,-503.3626953125,5,274,3
406.11937500000005,-509.34324218750004,4,396,4
812.2387500000001,-518.3140625000001,1,327,4
126.48,-535.2589453125,5,256,4
201.57750000000001,-541.2394921875,5,433,4
69.16875,-544.229765625,5,303,4
-117.586875,-551.2070703125,5,224,3
-637.340625,-559.1811328125001,2,269,3
662.04375,-579.1162890625001,1,375,4
-760.85625,-629.9509375,0,554,3
-669.94875,-642.9087890625001,1,303,3
599.791875,-650.8828515625,1,159,4
8.893125000000001,-666.8309765625,4,231,4
288.5325,-673.80828125,3,362,4
-267.781875,-707.698046875,3,308,3
170.945625,-711.685078125,3,295,4
-71.14500000000001,-722.6494140625,3,795,3
-410.07187500000003,-768.5002734375,2,336,3
607.6968750000001,-844.2538671875001,0,247,4
-18.774375000000003,-859.205234375,2,347,3
206.51812500000003,-962.8680468750001,0,178,4
365.60625000000005,-988.78375,0,335,4
