x,y,score,area,zone
565.9983984375,765.2390625,1,279,2
656.5971093750001,726.7798828125001,0,173,2
-439.35503906250005,639.0140625,3,369,1
192.887578125,545.3314453125,5,324,2
472.47714843750003,526.5949218750001,3,475,2
3.8967187500000002,504.90000000000003,5,307,2
135.4109765625,472.3576171875,5,314,2
-312.7116796875,377.6888671875,5,276,1
155.86875,285.978515625,7,610,2
-76.9601953125,274.144921875,8,305,1
452.019375,27.61171875,6,229,2
928.3932421875,7.8890625000000005,1,131,2
71.1151171875,-20.708789062500003,10,199,4
367.26574218750005,-75.9322265625,7,364,4
352.65304687500003,-87.76582031250001,7,156,4
364.343203125,-87.76582031250001,7,2,4
375.05917968750003,-167.642578125,6,345,4
-167.55890625,-280.06171875,7,249,3
493.90910156250004,-284.9923828125,5,285,4
485.14148437500006,-432.9123046875,4,260,4
371.16246093750004,-684.3761718750001,2,153,4
754.0150781250001,-742.5580078125,0,18,4
755.9634375,-748.4748046875001,0,1,4
-172.42980468750002,-773.1281250000001,2,177,3
