x,y,score,area,zone
,,,,
227.1820898,896.6719727,1,396,2
,,,,
277.9865234,733.3740234,2,387,2
,,,,
242.5192773,549.5416016,4,386,2
,,,,
85.31310547,511.4061523,5,544,2
,,,,
527.2158203,341.2633789,4,970,2
,,,,
518.5886523,318.7732422,4,3,2
,,,,
522.4229492,319.7510742,4,4,2
,,,,
229.0992383,286.5047852,7,756,2
,,,,
708.3863477,152.5417969,3,540,2
,,,,
-113.1117578,117.3398438,9,356,1
,,,,
683.463418,108.5393555,3,911,2
,,,,
-7.66859375,94.84970703,9,581,1
,,,,
62.30732422,81.16005859,9,135,2
,,,,
115.0289063,71.38173828,9,938,2
,,,,
420.814082,64.53691406,6,468,2
,,,,
693.0491602,44.98027344,3,803,2
,,,,
29.71580078,2.933496094,10,184,2
,,,,
-505.1686133,-4.889160156,5,477,3
,,,,
-58.47302734,-14.66748047,10,250,3
,,,,
7.66859375,-19.55664063,10,840,4
,,,,
300.9923047,-27.37929688,7,184,4
,,,,
144.744707,-44.98027344,9,381,4
,,,,
208.0106055,-45.95810547,8,274,4
,,,,
269.3593555,-46.9359375,8,173,4
,,,,
-89.14740234,-49.86943359,9,749,3
,,,,
-32.59152344,-59.64775391,10,1004,3
,,,,
-75.72736328,-89.96054688,9,1,3
,,,,
-78.60308594,-99.73886719,9,15,3
,,,,
-48.88728516,-98.76103516,9,446,3
,,,,
-8.627167969,-102.6723633,9,11,3
,,,,
-175.419082,-111.4728516,8,427,3
,,,,
-6.710019531,-110.4950195,9,482,3
,,,,
-100.650293,-128.0959961,9,353,3
,,,,
267.442207,-137.8743164,7,42,4
,,,,
-302.9094531,-139.8299805,7,457,3
,,,,
634.5761328,-140.8078125,4,90,4
,,,,
146.6618555,-143.7413086,8,149,4
,,,,
-267.442207,-148.6304688,7,459,3
,,,,
624.9903906,-152.5417969,4,255,4
,,,,
252.1050195,-153.5196289,7,147,4
,,,,
245.395,-168.1871094,7,8,4
,,,,
-216.6377734,-176.9875977,8,905,3
,,,,
122.6975,-176.9875977,8,190,4
,,,,
-547.3458789,-205.3447266,4,654,3
,,,,
303.8680273,-208.2782227,7,391,4
,,,,
-259.7736133,-215.1230469,7,563,3
,,,,
352.7553125,-220.9900391,6,942,4
,,,,
38.34296875,-241.5245117,8,555,4
,,,,
-236.767832,-247.3915039,7,782,3
,,,,
450.5298828,-267.9259766,5,284,4
,,,,
467.7842188,-269.8816406,5,47,4
,,,,
-351.7967383,-289.4382813,6,498,3
,,,,
394.9325781,-300.1944336,5,290,4
,,,,
723.7235352,-317.7954102,2,595,4
,,,,
-220.4720703,-323.6624023,6,418,3
,,,,
-354.6724609,-332.4628906,5,626,3
,,,,
-300.0337305,-333.4407227,6,684,3
,,,,
660.4576367,-335.3963867,3,245,4
,,,,
275.1108008,-344.196875,6,464,4
,,,,
673.8776758,-344.196875,3,677,4
,,,,
-216.6377734,-352.0195313,6,2,3
,,,,
-153.371875,-365.7091797,6,975,3
,,,,
138.0346875,-375.4875,6,777,4
,,,,
-487.9142773,-398.9554688,4,409,3
,,,,
487.9142773,-399.9333008,4,837,4
,,,,
640.3275781,-425.3569336,3,63,4
,,,,
-294.2822852,-440.0244141,5,237,3
,,,,
-79.56166016,-475.2263672,6,303,3
,,,,
422.7312305,-478.1598633,4,560,4
,,,,
548.3044531,-496.7386719,3,477,4
,,,,
425.6069531,-545.6302734,3,793,4
,,,,
-408.3526172,-550.5194336,3,620,3
,,,,
-60.39017578,-564.209082,5,631,3
,,,,
-74.76878906,-593.544043,4,452,3
,,,,
249.2292969,-666.8814453,3,952,4
,,,,
-156.2475977,-692.3050781,3,685,3
,,,,
501.3343164,-695.2385742,2,367,4
,,,,
-514.7543555,-721.6400391,1,253,3
,,,,
-496.5414453,-727.5070313,1,4,3
,,,,
450.5298828,-798.8887695,1,510,4
,,,,
256.8978906,-819.4232422,2,336,4
,,,,
11.50289063,-820.4010742,2,384,4
,,,,
292.3651367,-846.8025391,1,574,4
,,,,
-212.8034766,-898.6276367,1,220,3
,,,,
-269.3593555,-916.2286133,1,489,3
,,,,
-194.5905664,-962.1867188,0,387,3
,,,,
125.5732227,-986.6325195,0,498,4
